Source,Target,Type
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=8yqX7m6wJN8,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=npui2mJCChA,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=npui2mJCChA,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=7KzHrL8_mWA,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=7_O9Q8GdLnc,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=rqIhMd9JEdE,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=rqIhMd9JEdE,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=gCyjzGH8FH4,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=1FdvZjFa5pM,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=DOOnw7Yv9oQ,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=RVYsMvfyxeQ,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=Q3MjRHCX76A,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=8yqX7m6wJN8,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=pAxiUUCPs6Y,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=iNGd64nt2Wk,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=6Xs0FA5M5Lc,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=Q3MjRHCX76A,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=WaeZO1HkFKY,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=7KzHrL8_mWA,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=prRokei1Xus,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=6Xs0FA5M5Lc,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=wwsv4hJlmjc,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=iNGd64nt2Wk,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=RVYsMvfyxeQ,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=AWvhgFl35-Q,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=iNGd64nt2Wk,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=npui2mJCChA,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=DOOnw7Yv9oQ,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=KvpnMooNWQg,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=iNGd64nt2Wk,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=RVYsMvfyxeQ,Directed
https://www.youtube.com/user/FoxNewsChannel/videos,https://www.youtube.com/watch?v=wwsv4hJlmjc,Directed
